rootDomain,tag,domain,animation_url,image_url,description,,Moto Name,Top Chassis_attr,Wheel_attr,Wheel Fairing_attr,Wind Shield_attr,Speedometer_attr,Bottom Fairing_attr,Chain Cap_attr,Exhaust Pipe_attr,Head Light_attr,Side Fairing_attr,Side Cart_attr,Pattern_attr,Color_attr,Model R G B_attr,Number Plate_attr,ID
wilder.moto.test.test,1,wilder.moto.test.test.1,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_EE06BM8WU721I.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_EE06BM8WU721I.png,Test render to test the infrustructure,0,Moto,Cruiser ,T1A/Dirt,T1B/Type1,None/Type1,T2B/Type1,T1A/Type1,T1A/Type1,T1A/Type1,T1A/Type1,None/Type1,Side Cart,Diamond ,Hypnosis,3,WM-613,EE06BM8WU721I
wilder.moto.test.test,2,wilder.moto.test.test.2,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_1UTK9D9KRFM6M.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_1UTK9D9KRFM6M.png,Test render to test the infrustructure,1,Moto,Cruiser ,T1A/Dirt,T1B/Type1,None/Type1,T2B/Type1,T1B/Type2,T1A/Type1,T1A/Type1,T1A/Type1,None/Type1,Side Cart,Static,Paradise,2,WW-951,1UTK9D9KRFM6M
wilder.moto.test.test,3,wilder.moto.test.test.3,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_B3OQFFMF7FVAC.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_B3OQFFMF7FVAC.png,Test render to test the infrustructure,2,Moto,Cruiser ,T1A/Dirt,T1B/Type1,None/Type1,T2B/Type1,T1B/Type2,T1A/Type1,T1A/Type1,T1A/Type1,T1B/Type2,Side Cart,Static,Hypnosis,0,MT-293,B3OQFFMF7FVAC
wilder.moto.test.test,4,wilder.moto.test.test.4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_QFO6DSPUEEC5L.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_QFO6DSPUEEC5L.png,Test render to test the infrustructure,3,Moto,Cruiser ,T1A/Dirt,T1C/Type2,None/Type1,T2B/Type1,T1C/Type3,T1A/Type1,T1A/Type1,T1A/Type1,None/Type1,Side Cart,Static,Hypnosis,2,MM-758,QFO6DSPUEEC5L
wilder.moto.test.test,5,wilder.moto.test.test.5,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_PDH0C0FHGKP8O.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_PDH0C0FHGKP8O.png,Test render to test the infrustructure,4,Moto,Cruiser ,T1A/Dirt,T2A/Type3,None/Type1,T2B/Type1,T1A/Type1,T1A/Type1,T1A/Type1,T1A/Type1,None/Type1,Side Cart,Static,Hypnosis,0,MM-647,PDH0C0FHGKP8O
wilder.moto.test.test,6,wilder.moto.test.test.6,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_KQLEE1B0R65BR.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_KQLEE1B0R65BR.png,Test render to test the infrustructure,5,Moto,Cruiser ,T1A/Dirt,T1C/Type2,None/Type1,T2B/Type1,T1A/Type1,T1A/Type1,T1B/Type2,T1A/Type1,None/Type1,Side Cart,Static,Hypnosis,0,MM-175,KQLEE1B0R65BR
wilder.moto.test.test,7,wilder.moto.test.test.7,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_TZWQEH4G3KHR1.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_TZWQEH4G3KHR1.png,Test render to test the infrustructure,6,Moto,Cruiser ,T1C/Paddle,T1B/Type1,None/Type1,T2B/Type1,T2B/Type5,T1A/Type1,T1A/Type1,T1A/Type1,None/Type1,Side Cart,Static,Hypnosis,1,VR-816,TZWQEH4G3KHR1
wilder.moto.test.test,8,wilder.moto.test.test.8,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_GRK5QQO54NZUS.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_GRK5QQO54NZUS.png,Test render to test the infrustructure,7,Moto,Cruiser ,T1A/Dirt,T1B/Type1,None/Type1,T2B/Type1,T2A/Type4,T1A/Type1,T1B/Type2,T1A/Type1,None/Type1,Side Cart,Static,Hypnosis,0,VR-401,GRK5QQO54NZUS
wilder.moto.test.test,9,wilder.moto.test.test.9,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_N3WRVFRXKQ021.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_N3WRVFRXKQ021.png,Test render to test the infrustructure,8,Moto,Cruiser ,T1B/Street,T1C/Type2,None/Type1,T2B/Type1,T1A/Type1,T1A/Type1,T1B/Type2,T1A/Type1,None/Type1,Side Cart,Static,Hypnosis,2,WM-449,N3WRVFRXKQ021
wilder.moto.test.test,10,wilder.moto.test.test.10,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_RKI7ZUWHZ10YM.mp4,https://moto-testing.s3.us-east-1.amazonaws.com/Moto_RKI7ZUWHZ10YM.png,Test render to test the infrustructure,9,Moto,Cruiser ,T1A/Dirt,T1C/Type2,None/Type1,T2B/Type1,T1B/Type2,T1A/Type1,T1A/Type1,T1A/Type1,None/Type1,Side Cart,Static,Paradise,1,WM-565,RKI7ZUWHZ10YM
